NUMBER,STREET,UNIT,CITY,DISTRICT,COUNTRY,REGION,POSTCODE
623,EASTSIDE ST SE,208,Olympia,,us,,98501
6223,197TH WAY SW,,Rochester,,us,,98579
1178,EBBETS DR SW,,Tumwater,,us,,98512
1805,TELLKAMP RD NE,,Olympia,,us,,98506
1700,CAMELOT PARK SW,,Olympia,,us,,98512
6740,105TH AVE SW,,Olympia,,us,,98512
7515,3RD AVE SE,,Olympia,,us,,98503
4439,24TH AVE SE,,Lacey,,us,,98503
3244,66TH AVE SW,59,Tumwater,,us,,98512
8437,WADDELL CREEK RD SW,,Olympia,,us,,98512
4804,BOSTON HARBOR RD NE,,Olympia,,us,,98506
3044,KAISER RD NW,,Olympia,,us,,98502
4832,SWITCHBACK LOOP SE,,Lacey,,us,,98513
15312,CARTER CT SE,,Yelm,,us,,98597
1509,LILLY RD NE,,Olympia,,us,,98506
428,Z ST SE,,Tumwater,,us,,98501
5244,52ND LN SE,,Lacey,,us,,98503
6958,BAILEY ST SE,,Lacey,,us,,98513
1605,RUDDELL RD SE,,Lacey,,us,,98503
426,LILLY RD NE,344,Olympia,,us,,98506
6826,60TH CT NE,,Olympia,,us,,98516
799,SUSSEX AVE W,,Tenino,,us,,98589
5724,7TH AVE SE,,Lacey,,us,,98503
1818,EVERGREEN PARK DR SW,28,Olympia,,us,,98502
1623,58TH AVE SE,,Tumwater,,us,,98501
3507,COLOGNE CT SE,,Olympia,,us,,98503
6029,W SARAZEN ST SE,,Olympia,,us,,98513
2026,PUGET ST NE,,Olympia,,us,,98506
3805,COLLEGE ST SE,15,Lacey,,us,,98503
1100,FERN ST SW,102,Olympia,,us,,98502
1338,77TH TRL SE,,Tumwater,,us,,98501
2412,WOODFIELD LOOP SE,,Olympia,,us,,98501
119,7TH AVE SE,211,Olympia,,us,,98501
3921,CLEARFIELD DR SE,,Olympia,,us,,98501
16326,LINDSAY RD SE,,Yelm,,us,,98597
9348,PIPERHILL DR SE,,Olympia,,us,,98513
3237,57TH AVE SE,,Olympia,,us,,98501
7836,MERIDIAN RD SE,,Olympia,,us,,98513
1317,36TH AVE NE,,Olympia,,us,,98506
4922,PUGET RD NE,217,Olympia,,us,,98516
7819,19TH LN SE,,Olympia,,us,,98503
8328,JANIS CT SE,,Olympia,,us,,98513
503,PUGET ST NE,3,Olympia,,us,,98506
2516,GWINN LN SE,,Lacey,,us,,98503
2706,WALNUT LOOP NW,,Olympia,,us,,98502
20011,146TH AVE SE,,Yelm,,us,,98597
4410,6TH AVE SE,207,Lacey,,us,,98503
215,A AVE NE,,Olympia,,us,,98501
15434,WESTSHORE DR SE,,Yelm,,us,,98597
505,WASHINGTON ST SE,18,Olympia,,us,,98501
930,TROSPER RD SW,127,Tumwater,,us,,98512
405,DECATUR ST SW,,Olympia,,us,,98502
501,BATES ST SE,,Tumwater,,us,,98501
8911,WALTER CT SW,,Olympia,,us,,98512
3135,184TH AVE SE,,Tenino,,us,,98589
12214,DREAM ST SW,,Olympia,,us,,98512
2934,CAMPUS PRAIRIE LOOP NE,,Lacey,,us,,98516
1910,ASHWOOD DOWNS LN SE,320,Olympia,,us,,98501
3018,HOADLY ST SE,,Olympia,,us,,98501
5624,DEVONSHIRE ST SE,,Olympia,,us,,98501
6714,FALCON WAY NE,,Olympia,,us,,98516
4525,BECKONRIDGE LOOP SE,,Lacey,,us,,98513
726,RAYLA ST SE,,Olympia,,us,,98513
4625,45TH AVE SE,2,Lacey,,us,,98503
887,CALVARY CT SE,,Tumwater,,us,,98501
3549,37TH CT NW,,Olympia,,us,,98502
18720,SLOUGH LN SE,,Yelm,,us,,98597
1298,33RD AVE NE,,Olympia,,us,,98506
5710,COLBY CT SE,,Olympia,,us,,98501
3205,CARPENTER HILLS LOOP SE,,Lacey,,us,,98503
17942,MIMA ACRES DR SE,,Tenino,,us,,98589
7835,23RD LN SE,,Olympia,,us,,98503
6104,TROON LN SE,,Olympia,,us,,98501
3020,CLOVERFIELD DR SE,,Olympia,,us,,98501
1120,GALAXY DR NE,A,Lacey,,us,,98516
6800,3RD WAY SE,,Olympia,,us,,98503
3728,HOPPE LN SE,,Lacey,,us,,98503
5440,70TH WAY SE,,Lacey,,us,,98513
2531,WALNUT LOOP NW,,Olympia,,us,,98502
4941,INDIAN RD NE,,Olympia,,us,,98506
4647,SKYLARK ST NE,,Olympia,,us,,98516
1617,FONES RD SE,65,Olympia,,us,,98501
2473,RUDDELL RD SE,,Lacey,,us,,98503
1827,53RD LOOP SE,,Tumwater,,us,,98501
3803,GLENDALE DR SE,,Olympia,,us,,98501
530,AMERICAN ST SW,301,Olympia,,us,,98502
17819,OVERLAKE CT SE,,Yelm,,us,,98597
5735,CEDAR FLATS RD SW,,Olympia,,us,,98512
7828,WALDRICK RD SE,,Tenino,,us,,98589
1824,FAIRVIEW ST SE,A,Olympia,,us,,98501
1333,EAST BAY DR NE,,Olympia,,us,,98506
2503,GALLOWAY ST SE,,Olympia,,us,,98501
4704,SYDNEY ROSE CT SE,B,Olympia,,us,,98501
1207,CROWE ST SE,,Lacey,,us,,98503
12507,WADDELL CREEK CT SW,,Olympia,,us,,98512
1834,27TH AVE NW,E,Olympia,,us,,98502
4221,BOULEVARD RD SE,,Olympia,,us,,98501
8437,JAMIESON LN SW,,Olympia,,us,,98512
9331,ELD CT NE,,Lacey,,us,,98516
6907,SWEETGUM AVE NE,,Lacey,,us,,98516
5938,59TH LOOP SE,,Lacey,,us,,98513
2503,MUGHO ST SE,,Olympia,,us,,98513
9437,51ST AVE SE,,Olympia,,us,,98513
5210,BEVERLY DR NE,,Olympia,,us,,98516
3132,LORNE ST SE,,Olympia,,us,,98501
7125,5TH AVE SE,,Olympia,,us,,98503
4878,BEND DR NE,,Lacey,,us,,98516
1221,HENSLEY ST NE,,Olympia,,us,,98516
2303,WATER ST SW,,Olympia,,us,,98501
4518,24TH AVE SE,,Lacey,,us,,98503
10439,SR 507,,Rainier,,us,,98576
11223,SASKATOON LN SE,,Olympia,,us,,98513
210,HAVEN CREST CT SE,,Olympia,,us,,98513
3326,64th LN SW,,Tumwater,,us,,98512
7833,WILDA LN NE,,Olympia,,us,,98516
2633,REINHARDT LN NE,,Lacey,,us,,98516
17215,LITTLEROCK RD SW,,Rochester,,us,,98579
6115,RUDDELL RD SE,,Olympia,,us,,98513
7620,TRADITIONS AVE NE,,Lacey,,us,,98516
203,BINGHAMPTON ST E,,Rainier,,us,,98576
3700,14TH AVE SE,117,Olympia,,us,,98501
8427,9TH WAY SE,,Olympia,,us,,98513
2311,CARNBEE CT SE,,Olympia,,us,,98513
16837,TY LN SW,,Rochester,,us,,98579
3531,SURREY DR NE,,Olympia,,us,,98506
2633,MARTIN WAY E,,Olympia,,us,,98506
1405,CLEARBROOK DR SE,,Lacey,,us,,98503
825,LILLY RD NE,129,Olympia,,us,,98506
12231,HILLCREST DR SE,,Yelm,,us,,98597
5446,BLACK LAKE BLVD SW,49,Olympia,,us,,98512
3017,APPLEHILL CT NE,,Olympia,,us,,98506
7826,AUKLET DR SE,,Olympia,,us,,98513
1705,LEBANON ST SE,,Lacey,,us,,98503
300,KENYON ST NW,6,Olympia,,us,,98502
926,BETHEL ST NE,,Olympia,,us,,98506
8040,RIFFE LN SW,,Rochester,,us,,98579
22711,LACEYWOOD CT SE,,Yelm,,us,,98597
302,8TH AVE SE,,Olympia,,us,,98501
17806,CAMUS DR SW,,Rochester,,us,,98579
3128,YEWTRAILS DR NW,,Olympia,,us,,98502
21902,PROMONTORY CT SE,,Yelm,,us,,98597
15425,SMITH PRAIRIE RD SE,,Yelm,,us,,98597
2322,MUIRHEAD AVE NW,,Olympia,,us,,98502
7638,10TH WAY SE,,Olympia,,us,,98503
1408,BOULEVARD PARK LN SE,,Lacey,,us,,98503
18843,CRESCENT DR SW,,Rochester,,us,,98579
8101,HIDDEN VALLEY DR SE,,Olympia,,us,,98503
1630,DIAMOND LOOP SE,,Lacey,,us,,98503
1133,LOYOLA ST NE,,Olympia,,us,,98516
6471,HEATHER LN SW,,Tumwater,,us,,98501
4031,21ST AVE SE,211,Lacey,,us,,98503
4821,DONAVAN DR SE,,Olympia,,us,,98501
4130,VIOLET CT SW,,Rochester,,us,,98579
103,RAINIER ESTATES CT SE,,Rainier,,us,,98576
748,SUTTER LN SE,202,Olympia,,us,,98503
1620,WOODARD AVE NW,,Olympia,,us,,98502
5104,JESSICA CT SE,,Lacey,,us,,98513
119,7TH AVE SE,210,Olympia,,us,,98501
2323,9TH AVE SW,102,Olympia,,us,,98502
3300,21ST AVE SW,5,Olympia,,us,,98512
3804,GOLDEN EAGLE LOOP SE,,Olympia,,us,,98513
6115,189TH LOOP SW,,Rochester,,us,,98579
902,COMISKEY LN SW,,Tumwater,,us,,98512
3116,PONDEROSA ST NE,A,Lacey,,us,,98516
7636,KENZI ST SE,,Olympia,,us,,98513
4808,25TH AVE SE,,Lacey,,us,,98503
209,MCARTHUR ST S,,Tenino,,us,,98589
8530,STEILACOOM RD SE,79,Olympia,,us,,98513
13308,MIMA RD SW,,Olympia,,us,,98512
7627,3RD WAY SE,25,Olympia,,us,,98503
5911,188TH AVE SW,,Rochester,,us,,98579
4532,BECKONRIDGE LN SE,,Lacey,,us,,98513
7826,48TH LOOP SE,,Lacey,,us,,98503
303,SAWYER ST NE,,Olympia,,us,,98506
8838,QUINAULT DR NE,,Olympia,,us,,98516
4510,5TH AVE NW,,Olympia,,us,,98502
6722,STEAMER DR SE,,Lacey,,us,,98513
3203,WOODLAND DR SW,,Tumwater,,us,,98512
9291,FAIRYBELL ST SE,,Tumwater,,us,,98501
14821,CEDARWOOD DR SE,,Tenino,,us,,98589
14012,CHEIN HILL LN SE,,Tenino,,us,,98589
2823,LANGRIDGE LOOP NW,,Olympia,,us,,98502
21010,HOBSON RD SE,,Yelm,,us,,98597
18840,SORENSON RD SE,,Yelm,,us,,98597
12004,COLLINS ST SE,,Tenino,,us,,98589
8141,59TH CT SE,,Olympia,,us,,98513
203,IDAHO AVE N,,Rainier,,us,,98576
12105,SCOTT CREEK LOOP SW,,Olympia,,us,,98512
8203,11TH CT SE,,Olympia,,us,,98503
11124,SHAW RD SE,,Yelm,,us,,98597
3034,WESTWOOD ST NW,,Olympia,,us,,98502
1709,BUTLER CT NW,,Olympia,,us,,98502
1917,HUDSON ST NW,,Olympia,,us,,98502
11011,TEMPO LAKE DR SE,,Olympia,,us,,98513
3600,STEVENS DR NE,,Lacey,,us,,98516
8202,180TH WAY SW,,Rochester,,us,,98579
1819,CAPITOL WAY S,5,Olympia,,us,,98501
