LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-131.6315166,55.3424155,724,LOTUS ST,,KETCHIKAN,,AK,99901,,4814db34da1ec125
-131.5264829,55.3253831,82/90,TONGASS AVE SUITE 101,,KETCHIKAN,,AK,99901,,a542b27bba5173bb
-131.7773993,55.4790783,15454,PO BOX 1476,,WARD COVE,,AK,99928,,88ea9d8b9cdd3c55
-131.644994,55.3426499,514,PETERSON ST,,KETCHIKAN,,AK,99901,,9a408343ccb597a1
-131.6307568,55.3423455,1232,POTTER RD,,KETCHIKAN,,AK,99901,,345b0cc0716a900f
-131.6362122,55.3424902,1059,BROWN DEER RD,,KETCHIKAN,,AK,99901,,0fedfc9e34a197dd
-131.6359531,55.3424824,609/611,EGMONT WAY,,SACRAMENTO,,CA,95827,,ce773df9f1ab855b
-131.6466307,55.342677,330,MAIN ST,,KETCHIKAN,,AK,99901,,5003556fefa05446
-131.6420002,55.3425243,8,PO BOX 8558,,KETCHIKAN,,AK,99901,,8af5120656d3ca3a
-131.6369892,55.342414,1042,PO BOX 5091,,KETCHIKAN,,AK,99901,,8406a3728fbf1168
-131.6335088,55.3424245,639,DEERMOUNT ST,,KETCHIKAN,,AK,99901,,269ff46962a71f7a
-131.632594,55.342336,702,STEDMAN ST,,KETCHIKAN,,AK,99901,,8226d8a349f36fb5
-131.6288427,55.3423136,,FRONT ST,,KETCHIKAN,,AK,99901,,09f34e20b124692b
-131.6452046,55.3425617,322,SQUIRREL HILL DR,,RIDGELAND,,MS,39157,,1d3d887e4cf7a7fb
-131.6357501,55.3423859,611A/B/C,NICKEY WAY  UNIT B,,KETCHIKAN,,AK,99901,,62690a3f5bf92f00
-131.6351214,55.3423649,615,PO BOX 3102,,ISSAQUAH,,WA,98027,,1e0b94cf9188e6b1
-131.636799,55.3423121,1048,PO BOX 5091,,KETCHIKAN,,AK,99901,,9fd45d85b6e58261
-131.6422128,55.3424357,7,PO BOX 8162,,KETCHIKAN,,AK,99901,,4024dabac6edcbb5
-131.6311498,55.3422941,1220,PO BOX 23196,,KETCHIKAN,,AK,99901,,57282ae18118578e
-131.6361062,55.3423716,1067,WOODLAND AVE,,KETCHIKAN,,AK,99901,,364d860c5cff5cf4
-131.6336203,55.3422921,633/635,DEERMOUNT ST,,KETCHIKAN,,AK,99901,,d938fa746c1a8988
-131.6226019,55.3421598,1436,MCDOWELL RD,,STERLING,,AK,99672,,129a0d24c597b75c
-131.6305153,55.3422388,,SETTLERS DR,,CHUGIAK,,AK,99567,,9d2345d081213f7d
-131.6472539,55.3424814,335,MAIN ST,,KETCHIKAN,,AK,99901,,0f86e3e374e83d2a
-131.6258913,55.3420173,,FOREST PARK DR,,KETCHIKAN,,AK,99901,,858281963897590a
-131.6426642,55.3424682,4,PO BOX 23154,,KETCHIKAN,,AK,99901,,52d41d66b865f475
-131.6316657,55.342287,716,LOTUS ST,,KETCHIKAN,,AK,99901,,f05c27771af0011a
-131.6434097,55.3423893,629,FRONT ST,,KETCHIKAN,,AK,99901,,60264a3be426f0fd
-131.6355331,55.3422884,610,NICKEY WAY,,KETCHIKAN,,AK,99901,,3664e6d435e6d6f5
-131.6389456,55.3486993,537,FOREST PARK DR,,KETCHIKAN,,AK,99901,,de7f2cf35dcc2f94
-131.6376388,55.3487734,,FRONT ST,,KETCHIKAN,,AK,99901,,05c6c82b8e2b8308
-131.666373,55.3491224,,,,,,,,,6dc0194bf15e48e6
-131.6391452,55.3487828,,ALDER ST,,KETCHIKAN,,AK,99901,,4e042056900366c8
-131.6653501,55.349129,1768,Front ST,,KETCHIKAN,,AK,99901,,44d1033d7b669459
-131.6927832,55.3574914,215,HECKMAN ST,,KETCHIKAN,,AK,99901,,47b11c4a5dfcefa0
-131.6842034,55.357374,3311,HAWKINS AVE,,KETCHIKAN,,AK,99901,,d9b6c9a7aaae26c8
-131.6867818,55.3573726,507,ANDERSON DR,,KETCHIKAN,,AK,99901,,31bb28992dc43032
-131.6884016,55.3573363,420,COOK ST,,KETCHIKAN,,AK,99901,,a33e30b4f51f5263
-131.6918687,55.3574716,230,HECKMAN ST,,KETCHIKAN,,AK,99901,,efdc0cac04343a4f
-131.6446408,55.342341,301-305,VIEW CT,,KETCHIKAN,,AK,99901,,d63a9886125623ef
-131.6314476,55.3420949,1219,E FIFTH ST,,KETCHIKAN,,AK,99901,,bc09043663f8ba91
-131.6227496,55.342041,1428,KETCHIKAN LAKES RD,,KETCHIKAN,,AK,99901,,9f16e444c276eee8
-131.6418322,55.3423129,10,VIA PALACIO,,PALM BEACH GARDENS,,FL,33418,,c74b54c8a08099b6
-131.6356818,55.3421809,1105,PO BOX 759,,WARD COVE,,AK,99928,,6e5f4cfb7226ee0c
-131.6299781,55.3420697,1270,PO BOX 8276,,KETCHIKAN,,AK,99901,,e1e22d082ede0372
-131.6384062,55.3423004,,FRONT ST,,KETCHIKAN,,AK,99901,,da9771672c99f440
-131.6478989,55.342542,334,FRONT ST,,KETCHIKAN,,AK,99901,,19b3a0ddad9f276c
-131.6414596,55.3423279,13,CREEK ST,,KETCHIKAN,,AK,99901,,b6516a41ac732bf2
-131.6264693,55.3414668,1377,WOODLAND AVE,,KETCHIKAN,,AK,99901,,0cf90ac48ed1bf9d
-131.6481894,55.3419366,201,DOCK ST,,KETCHIKAN,,AK,99901,,ebcfafa83c06547b
-131.6305606,55.3415945,,W11604 COLBY FACTORY RD,,STANLEY,,WI,54768,,3bc2f3cddcf05ec4
-131.6479069,55.341937,301,MADISON ST,,KETCHIKAN,,AK,99901,,733938e13f20a76a
-131.6348115,55.3417231,531/535,PO BOX 7671,,KETCHIKAN,,AK,99901,,3420343019ae67db
-131.6261164,55.3414095,1381,BOSTWICK RD,,KETCHIKAN,,AK,99901,,6a74fd9e1fbdac6b
-131.626948,55.3405626,1376,DEER MOUNTAIN CT,,KETCHIKAN,,AK,99901,,ea8cdc2a9d92de32
-131.6264004,55.340549,1386,DEER MOUNTAIN CT,,KETCHIKAN,,AK,99901,,439f6608fbe2381f
-131.6459271,55.3409325,315/317,E 49TH ST  FL #38,,NEW YORK,,NY,10014,,67f1d971c6dce59c
-131.6400506,55.3408033,307/309,STEDMAN ST,,KETCHIKAN,,AK,99901,,eb82eb991eeadd3f
-131.6277007,55.3405532,1356,DEER MOUNTAIN CT,,KETCHIKAN,,AK,99901,,a6ef90c169963738
-131.639004,55.3408993,ABOVE STEDMAN ST,PO BOX 8558,,KETCHIKAN,,AK,99901,,66586cad1bc7665e
-131.6441202,55.3447343,707,JUNEGRASS DR,,LYNDEN,,WA,98264,,bd89d7348ba8dbfa
-131.6487135,55.3446556,423,CEDAR ST,,KETCHIKAN,,AK,99901,,36138ee5e385acc1
-131.6489425,55.3447588,614/616,MAIN ST,,KETCHIKAN,,AK,99901,,c8beabe94611847f
-131.6445694,55.3445786,659,HILLCREST ST,,KETCHIKAN,,AK,99901,,cc48223ea09b9f72
-131.6252892,55.3441822,,CARLANNA LAKE RD APT 8,,KETCHIKAN,,AK,99901,,a5815cb0996bc4fb
-131.6529487,55.344753,802,HOPKINS ALLEY,,KETCHIKAN,,AK,99901,,2a692d0bb7eff997
-131.6430451,55.3445219,740,MAIN ST,,KETCHIKAN,,AK,99901,,7dda27a03a229259
-131.6412301,55.3458925,829,SWEETBAY DR,,BELLINGHAM,,WA,98229,,822b60a13e0ead88
-131.647598,55.3459177,,FRONT ST,,KETCHIKAN,,AK,99901,,f167a0562d4547a3
-131.6495237,55.34598,831,PO BOX 7313,,KETCHIKAN,,AK,99901,,b8dee7e4bd5e3d74
-131.6559351,55.3460905,1105,S TONGASS HWY,,KETCHIKAN,,AK,99901,,2d5c7f2ea9480678
-131.6614704,55.3460424,1400 BLK,PO BOX 8080,,KETCHIKAN,,AK,99901,,792dd3385b0dd653
-131.6556821,55.3460421,1033,PO BOX 1458,,WARD COVE,,AK,99928,,73e646895d1b061c
-131.6562328,55.3460042,1104,CHARLIE CHASE LN,,BETTENDORF,,IA,52722,,caad227a755a7e13
-131.6599771,55.3460894,1305,WATER ST,,KETCHIKAN,,AK,99901,,5f9f76acc42147f6
-131.6550573,55.3459764,1012,DUNTON ST,,KETCHIKAN,,AK,99901,,6c3f3bab90233668
-131.6659176,55.3488891,1775,CAMROSE AVE,,SAN DIEGO,,CA,92122,,57c37ed01add0c98
-131.6677564,55.3489321,124,PO BOX 7933,,KETCHIKAN,,AK,99901,,092ef3b2bcbd2307
-131.6697972,55.3489547,,FRONT ST,,KETCHIKAN,,AK,99901,,f5585d8ab7fb6b29
-131.6709984,55.3490259,2030,DOCK ST,,KETCHIKAN,,AK,99901,,e96a0cbcea870e6e
-131.6400324,55.3485029,596,PO BOX 23560,,KETCHIKAN,,AK,99901,,7cd8a8d728cb131a
-131.6372523,55.3484839,470,STEDMAN ST,,KETCHIKAN,,AK,99901,,fa0c1817867e3ca1
