,NUMBER,STREET,UNIT,CITY,DISTRICT,COUNTRY,REGION,POSTCODE,ID
251789,26,Leimbacher Straße,,Bad Salzungen,,de,,,
101718,1,Rotdornweg,,Erfurt,,de,,,
492073,10,Bergluftstraße,,Judenbach,,de,,,
276138,64,Straße des Friedens,,Treffurt,,de,,,
247485,28,Ginsterweg,,Eisenach,,de,,,
405114,8,Lindenstraße,,Bleicherode,,de,,,
77386,10,Egstedter Trift,,Erfurt,,de,,,
411688,104,Sondershäuser Straße,,Nohra,,de,,,
170015,9,Goethestraße,,Ilmtal-Weinstraße,,de,,,
11458,27,Schoßbachstraße,,Gera,,de,,,
117105,24,Otto-Bartning-Straße,,Weimar,,de,,,
91718,19,Hannes-Meyer-Weg,,Erfurt,,de,,,
20280,21,Herrmannsgrüner Straße,,Greiz,,de,,,
37896,13,Reichenfelser Straße,,Zeulenroda-Triebes,,de,,,
305521,22,Kirchgasse,,Gotha,,de,,,
266,64,Roben,,Gera,,de,,,
83827,127,Röhrenweg,,Erfurt,,de,,,
313190,38,Goldbergstraße,,Ohrdruf,,de,,,
367390,16,Dorfstraße,,Poxdorf,,de,,,
367216,114,Dorfstraße,,Ottendorf,,de,,,
35372,29,Straße der Jugend,,Weida,,de,,,
549243,1,Dorfstraße,,Glasehausen,,de,,,
203082,43,Hauptstraße,,Schwallungen,,de,,,
243182,39,Mühlhäuser Chaussee,,Eisenach,,de,,,
108513,16a,Parkallee,,Weimar,,de,,,
184051,71,Nesselbergstraße,,Floh-Seligenthal,,de,,,
28434,5,Kurtschauer Weg,,Langenwetzendorf,,de,,,
59965,3,Am Kuhberg,,Lödla,,de,,,
34714,21,Hohe Straße,,Weida,,de,,,
601011,137,Hauptstraße,,Südeichsfeld,,de,,,
208200,21,Wilhelm-Pieck-Straße,,Brotterode-Trusetal,,de,,,
356284,50,Geraer Straße,,Eisenberg,,de,,,
56119,91,Am Sportplatz,,Gerstenberg,,de,,,
213378,5,Neutor,,Wasungen,,de,,,
392427,10a,Schießhausweg,,Schleiz,,de,,,
268453,38,Pfarrmünsterstraße,,Mihla,,de,,,
348658,3,Am Johannisberg,,Jena,,de,,,
491864,100,Alte Handelsstraße,,Judenbach,,de,,,
573169,31,Oberdorf,,Bad Langensalza,,de,,,
392511,6,Werner-Seelenbinder-Straße,,Schleiz,,de,,,
74702,13,Luckaer Straße,,Windischleuba,,de,,,
475661,33,Habichtsring,,Ilmenau,,de,,,
307605,11,Klosterstraße,,Gotha,,de,,,
283060,2,Hintergasse,,Moorgrund,,de,,,
475880,5,Geraer Weg,,Ilmenau,,de,,,
285570,4,Friedrich-Ebert-Straße,,Gerstungen,,de,,,
290779,16,Salzunger Straße,,Bad Liebenstein,,de,,,
154972,38,Rudolf-Breitscheid-Straße,,Blankenhain,,de,,,
88028,3,Im Hausplan,,Erfurt,,de,,,
241504,9,Basaltwerkstraße,,Römhild,,de,,,
538961,7,Könitzer Straße,,Unterwellenborn,,de,,,
482177,3,Waldstraße,,Neustadt am Rennsteig,,de,,,
481655,6,Kirchberg,,Martinroda,,de,,,
83887,50,Tiefthaler Weg,,Erfurt,,de,,,
209606,55,Dörrensolzer Straße,,Unterkatz,,de,,,
31241,88a,Hauptstraße,,Pölzig,,de,,,
471265,13,Neuhäuser Straße,,Großbreitenbach,,de,,,
543708,7,Zum Rhin,,Breitenworbis,,de,,,
96040,2,Heckenhügel,,Erfurt,,de,,,
384365,21,Ernst-Thälmann-Straße,,Neustadt an der Orla,,de,,,
392204,6,Pahlhornstraße,,Schleiz,,de,,,
476649,32,Weimarer Straße,,Ilmenau,,de,,,
375279,16,Zschorgulaer Straße,,Schkölen,,de,,,
288421,1,Hintergasse,,Bad Liebenstein,,de,,,
15760,8,Niebraer Straße,,Gera,,de,,,
359138,16,Poxdorfer Straße,,Graitschen b. Bürgel,,de,,,
551047,44,Robert-Koch-Straße,,Heilbad Heiligenstadt,,de,,,
55798,11,Am Wustenberg,,Fockendorf,,de,,,
284500,27,Unterstraße,,Gerstungen,,de,,,
506678,33,Meschenbach,,Frankenblick,,de,,,
492564,18,Ahornstraße,,Lauscha,,de,,,
115286,32,Kurt-Nehrling-Straße,,Weimar,,de,,,
142300,7,Jacobstraße,,Weißensee,,de,,,
592540,1,Besenmarkt,,Mülverstedt,,de,,,
22215,16,Pohlitzberg,,Greiz,,de,,,
85624,1,Damaschkestraße,,Erfurt,,de,,,
578187,13,Kleine Mühlenstraße,,Ballhausen,,de,,,
582740,2,An der Ziegelei,,Körner,,de,,,
194464,13,Binsengasse,,Obermaßfeld-Grimmenthal,,de,,,
442953,49,Karl-Marx-Straße,,Oldisleben,,de,,,
340068,7,Vor dem Obertore,,Jena,,de,,,
336911,32,Am Anger,,Jena,,de,,,
580901,34,Anger,,Herbsleben,,de,,,
394408,1,Am Schafberg,,Triptis,,de,,,
566921,56,Konrad-Martin-Straße,,Leinefelde-Worbis,,de,,,
464662,50a,Mühlgasse,,Elleben,,de,,,
404951,13,Johannes-Kleinspehn-Straße,,Bleicherode,,de,,,
483255,2b,Gartenstraße,,Plaue,,de,,,
408329,265,Friedhofstraße,,Görsbach,,de,,,
116323,3,Hinter der Kirche,,Weimar,,de,,,
72312,3/1,Tannengrund,,Schmölln,,de,,,
363436,36,Eichicht,,Kahla,,de,,,
102990,4,Gotthardtstraße,,Erfurt,,de,,,
328552,36,Am Spring,,Drei Gleichen,,de,,,
346741,21,Saarbrücker Straße,,Jena,,de,,,
557890,68,Hauptstraße,,Lutter,,de,,,
226420,20,Winzergasse,,Hildburghausen,,de,,,
78548,31,Flattigweg,,Erfurt,,de,,,
60338,16,Falkenhainer Straße,,Lucka,,de,,,
484445,25,Am Ellichlebener Weg,,Stadtilm,,de,,,
420744,18,Schwalbenweg,,Nordhausen,,de,,,
373102,117,Dorfstraße,,Tautenhain,,de,,,
164129,36,Ringstraße,,Mönchenholzhausen,,de,,,
62756,42,Altpoderschauer Weg,,Meuselwitz,,de,,,
587329,2,Hinter der Thälmannstraße,,Mühlhausen/Thüringen,,de,,,
233799,2,Pfarrberg,,Straufhain,,de,,,
347669,2,Tulpenweg,,Jena,,de,,,
498786,15,Göppinger Straße,,Sonneberg,,de,,,
206896,5,Haselbacher Straße,,Sülzfeld,,de,,,
159399,11,Am Bäckerberg,,Kapellendorf,,de,,,
453082,22,Adolf-Damaschke-Straße,,Voigtstedt,,de,,,
200472,12,Sophienweg,,"Schmalkalden, Kurort",,de,,,
516863,141,Sonneberger Straße,,Oberweißbach/Thür. Wald,,de,,,
303069,23,Reuterstraße,,Gotha,,de,,,
570261,27,Sonderstraße,,Sonnenstein,,de,,,
406280,1,Enge Gasse,,Ellrich,,de,,,
194020,24,Meininger Straße,,Neubrunn,,de,,,
328862,2,Röhnberg Allee,,Drei Gleichen,,de,,,
26128,19a,Dorfstraße,,Großenstein,,de,,,
412947,10a,Heringer Weg,,Nordhausen,,de,,,
552451,11,Bahnerstieg,,Heilbad Heiligenstadt,,de,,,
230649,8,Am Sättel,,Schleusingen,,de,,,
45411,173,Rüdersdorf,,Kraftsdorf,,de,,,
528561,43e,Kelzstraße,,Saalfeld/Saale,,de,,,
114739,71,Ernst-Thälmann-Straße,,Weimar,,de,,,
161328,17,Schützenstraße,,Kranichfeld,,de,,,
