count,lon,lat,area
392,-80.5,37.1,"POLYGON((-80.5 37.1,-80.5 37.2,-80.4 37.2,-80.4 37.1,-80.5 37.1))"
129,-80.4,37.1,"POLYGON((-80.4 37.1,-80.4 37.2,-80.3 37.2,-80.3 37.1,-80.4 37.1))"
14796,-80.5,37.2,"POLYGON((-80.5 37.2,-80.5 37.3,-80.4 37.3,-80.4 37.2,-80.5 37.2))"
2460,-80.4,37.2,"POLYGON((-80.4 37.2,-80.4 37.3,-80.3 37.3,-80.3 37.2,-80.4 37.2))"
